Team,W,L,Diff Rank,Diff,OFFENSE: Pts/Poss Rank,OFFENSE: Pts/Poss,OFFENSE: eFG% Rank,OFFENSE: eFG%,OFFENSE: TOV% Rank,OFFENSE: TOV%,OFFENSE: ORB% Rank,OFFENSE: ORB%,OFFENSE: FT Rate Rank,OFFENSE: FT Rate,DEFENSE: Pts/Poss Rank,DEFENSE: Pts/Poss,DEFENSE: eFG% Rank,DEFENSE: eFG%,DEFENSE: TOV% Rank,DEFENSE: TOV%,DEFENSE: ORB% Rank,DEFENSE: ORB%,DEFENSE: FT Rate Rank,DEFENSE: FT Rate
San Antonio,33,39,19,-1.0,18,111.8,26,52.1%,2,11.3%,27,23.0%,16,18.9,13,112.8,14,54.1%,19,13.2%,15,24.9%,6,17.4
Toronto,27,45,20,-1.2,15,112.3,21,53.2%,8,13.2%,19,24.0%,10,19.9,19,113.5,20,54.8%,1,16.2%,29,27.6%,30,23.4
Chicago,31,41,21,-1.3,17,111.8,9,55.1%,25,15.0%,17,24.9%,30,15.3,15,113.1,15,54.2%,26,12.6%,1,22.1%,20,19.8
Washington,34,38,22,-1.6,20,111.6,20,53.3%,15,13.6%,23,23.8%,3,22.1,16,113.2,13,54.0%,16,14.0%,17,25.1%,28,21.5
Charlotte,33,39,23,-2.5,22,111.0,19,53.7%,26,15.1%,10,26.1%,25,17.7,20,113.5,26,55.6%,5,14.8%,23,26.1%,3,16.4
Sacramento,31,41,24,-3.4,11,114.2,8,55.3%,11,13.3%,18,24.2%,20,18.5,30,117.6,28,55.9%,17,13.6%,28,27.5%,25,20.3
Detroit,20,52,25,-4.8,26,108.4,27,52.0%,27,15.2%,14,25.7%,6,20.7,18,113.2,17,54.3%,14,14.1%,25,26.2%,18,19.5
Minnesota,23,49,26,-6.1,25,110.1,25,52.3%,18,14.1%,11,26.0%,12,19.3,27,116.2,27,55.9%,6,14.8%,27,27.1%,26,20.7
Houston,17,55,27,-8.5,27,107.7,23,52.6%,23,14.6%,28,22.6%,18,18.7,28,116.2,29,56.0%,11,14.4%,26,26.8%,23,20.2
Cleveland,22,50,28,-8.8,28,106.3,29,51.2%,30,16.0%,3,27.5%,13,19.2,25,115.1,30,56.0%,12,14.3%,20,25.4%,9,18.5
Orlando,21,51,29,-9.1,29,105.6,30,49.5%,6,13.1%,20,23.9%,22,18.1,24,114.7,23,54.9%,22,12.9%,8,24.5%,5,17.1
Oklahoma City,22,50,30,-11.3,30,103.9,28,51.4%,29,16.0%,21,23.8%,29,17.1,26,115.1,22,54.9%,28,12.5%,13,24.9%,4,16.9
